complaint_text,category
No power supply in my area since morning. [Ref-4664],Supply
Delay in new connection request. [Ref-1565],EEU Service
Received bill for a closed account. [Ref-9001],Billing
Received bill for a closed account. [Ref-7828],Billing
Rude behavior from EEU employees. [Ref-2989],Employee
Voltage fluctuations are damaging my appliances. [Ref-4312],Supply
Field staff took money for faster service. [Ref-5659],Employee
No SMS received after recharge. [Ref-1673],Pre-Paid
No ID was shown by the visiting staff. [Ref-3601],Employee
Technician didn’t fix the issue properly. [Ref-8197],Employee
Unable to recharge my prepaid meter. [Ref-4626],Pre-Paid
Long queues at the service center. [Ref-6764],EEU Service
No SMS received after recharge. [Ref-6164],Pre-Paid
Error while entering prepaid code. [Ref-1552],Pre-Paid
I received poor service from customer care. [Ref-6658],Customer
Unable to recharge my prepaid meter. [Ref-2827],Pre-Paid
Long waiting times when calling support. [Ref-1410],Customer
Poor management in EEU office. [Ref-8929],EEU Service
No clear process for application submission. [Ref-6793],EEU Service
Employee arrived very late for appointment. [Ref-9894],Employee
Received bill for a closed account. [Ref-8295],Billing
I was charged for a meter I don’t have. [Ref-4568],Billing
Unable to recharge my prepaid meter. [Ref-8675],Pre-Paid
Error while entering prepaid code. [Ref-1655],Pre-Paid
I received poor service from customer care. [Ref-5214],Customer
Long waiting times when calling support. [Ref-7320],Customer
Long waiting times when calling support. [Ref-7487],Customer
I received poor service from customer care. [Ref-5871],Customer
Prepaid balance is deducted too fast. [Ref-9331],Pre-Paid
Late payment fee added unfairly. [Ref-1262],Billing
I received poor service from customer care. [Ref-2989],Customer
Delay in new connection request. [Ref-1561],EEU Service
Long waiting times when calling support. [Ref-8553],Customer
Unable to recharge my prepaid meter. [Ref-3770],Pre-Paid
Rude behavior from EEU employees. [Ref-9378],Employee
Electricity keeps going off frequently. [Ref-5543],Supply
Electricity keeps going off frequently. [Ref-5832],Supply
Power cut every evening for the last week. [Ref-4162],Supply
Field staff took money for faster service. [Ref-5251],Employee
Meter stopped recording power usage. [Ref-2576],Meter
I received poor service from customer care. [Ref-3083],Customer
I was charged for a meter I don’t have. [Ref-5376],Billing
Unable to recharge my prepaid meter. [Ref-9286],Pre-Paid
Technician didn’t fix the issue properly. [Ref-4598],Employee
Meter stopped recording power usage. [Ref-6286],Meter
Received bill for a closed account. [Ref-3653],Billing
Requesting meter replacement due to damage. [Ref-9234],Meter
Voltage fluctuations are damaging my appliances. [Ref-7947],Supply
No SMS received after recharge. [Ref-8599],Pre-Paid
I received poor service from customer care. [Ref-2951],Customer
Long queues at the service center. [Ref-8072],EEU Service
I received poor service from customer care. [Ref-5980],Customer
Power outage without any prior notice. [Ref-7609],Supply
Long queues at the service center. [Ref-9825],EEU Service
Technician didn’t fix the issue properly. [Ref-4397],Employee
Power cut every evening for the last week. [Ref-5403],Supply
Service center opens late and closes early. [Ref-5436],EEU Service
Field staff took money for faster service. [Ref-8367],Employee
Meter is not working correctly. [Ref-4775],Meter
Power outage without any prior notice. [Ref-1930],Supply
No ID was shown by the visiting staff. [Ref-5650],Employee
No SMS received after recharge. [Ref-3004],Pre-Paid
Requesting meter replacement due to damage. [Ref-7995],Meter
Meter box is broken and unsafe. [Ref-5809],Meter
Electricity keeps going off frequently. [Ref-8391],Supply
Electricity keeps going off frequently. [Ref-4228],Supply
Rude behavior from EEU employees. [Ref-8745],Employee
Power cut every evening for the last week. [Ref-1938],Supply
Power cut every evening for the last week. [Ref-7994],Supply
Unable to recharge my prepaid meter. [Ref-5080],Pre-Paid
Bill amount is too high for my usage. [Ref-1015],Billing
My complaint was closed without resolution. [Ref-2767],Customer
Wrong billing date on my invoice. [Ref-9815],Billing
Rude behavior from EEU employees. [Ref-2542],Employee
Employee arrived very late for appointment. [Ref-7675],Employee
Late payment fee added unfairly. [Ref-6252],Billing
My meter reading is incorrect. [Ref-3572],Meter
Meter box is broken and unsafe. [Ref-5630],Meter
Power cut every evening for the last week. [Ref-3829],Supply
Long queues at the service center. [Ref-4163],EEU Service
Prepaid balance is deducted too fast. [Ref-5210],Pre-Paid
Long queues at the service center. [Ref-8966],EEU Service
Prepaid balance is deducted too fast. [Ref-1533],Pre-Paid
Long queues at the service center. [Ref-6355],EEU Service
Meter is not working correctly. [Ref-7005],Meter
My complaint was closed without resolution. [Ref-8455],Customer
Service center opens late and closes early. [Ref-5607],EEU Service
No SMS received after recharge. [Ref-6560],Pre-Paid
Electricity keeps going off frequently. [Ref-7604],Supply
Meter is not working correctly. [Ref-5972],Meter
Service center opens late and closes early. [Ref-4350],EEU Service
I received poor service from customer care. [Ref-4421],Customer
Wrong billing date on my invoice. [Ref-7645],Billing
Field staff took money for faster service. [Ref-7729],Employee
