complaint_text,category
prepaid recharge failed but money was deducted.,Pre-Paid
employee was disrespectful during visit.,Employee
the agent was rude and unhelpful.,Customer
i was treated poorly by your customer service agent.,Customer
frequent blackouts are damaging my electronics.,Supply
i requested a new meter but received no response.,Meter
frequent blackouts are damaging my electronics.,Supply
the inspector forged my documents.,Employee
unexpected charges have been added to my account.,Billing
prepaid recharge failed but money was deducted.,Pre-Paid
the power supply is very unstable lately.,Supply
i received a bill after disconnection.,Billing
i’ve been on hold for hours with no resolution.,Customer
power cuts happen every evening around 6 pm.,Supply
i’ve been on hold for hours with no resolution.,Customer
i received a bill after disconnection.,Billing
customer service gave me incorrect information.,Customer
technicians never showed up as scheduled.,EEU Service
nobody responds when i call the helpline.,Customer
customer service gave me incorrect information.,Customer
token error shows 'already used'.,Pre-Paid
i was treated poorly by your customer service agent.,Customer
my meter is not reading correctly.,Meter
meter was removed without notice.,Meter
the inspector forged my documents.,Employee
i was double charged this month.,Billing
power cuts happen every evening around 9 pm.,Supply
the agent was rude and unhelpful.,Customer
frequent blackouts are damaging my electronics.,Supply
the power supply is very unstable lately.,Supply
technicians never showed up as scheduled.,EEU Service
staff member lied about fixing the problem.,Employee
my bill is way higher than my usage.,Billing
system won’t accept my meter number.,Pre-Paid
we've had no electricity in our area for 3 days.,Supply
my bill is way higher than my usage.,Billing
the technician arrived drunk.,Employee
employee was disrespectful during visit.,Employee
the power supply is very unstable lately.,Supply
the technician arrived drunk.,Employee
"i requested disconnection months ago, still active.",EEU Service
"i requested disconnection months ago, still active.",EEU Service
i think someone has tampered with my meter.,Meter
"i requested disconnection months ago, still active.",EEU Service
staff member lied about fixing the problem.,Employee
i bought a prepaid token but it’s not working.,Pre-Paid
technicians never showed up as scheduled.,EEU Service
there are errors in my billing statement.,Billing
token error shows 'already used'.,Pre-Paid
i bought a prepaid token but it’s not working.,Pre-Paid
the power supply is very unstable lately.,Supply
the power supply is very unstable lately.,Supply
staff member lied about fixing the problem.,Employee
the technician arrived drunk.,Employee
system won’t accept my meter number.,Pre-Paid
technicians never showed up as scheduled.,EEU Service
token error shows 'already used'.,Pre-Paid
the service is extremely slow and inefficient.,EEU Service
i received a bill after disconnection.,Billing
i received a bill after disconnection.,Billing
system won’t accept my meter number.,Pre-Paid
my meter is not reading correctly.,Meter
the technician arrived drunk.,Employee
the technician arrived drunk.,Employee
the readings are way too high compared to usage.,Meter
power cuts happen every evening around 6 pm.,Supply
employee was disrespectful during visit.,Employee
your staff asked me for a bribe.,Employee
i’ve been on hold for hours with no resolution.,Customer
my meter is not reading correctly.,Meter
the technician arrived drunk.,Employee
my bill is way higher than my usage.,Billing
no follow-up from eeu after multiple complaints.,EEU Service
"i requested disconnection months ago, still active.",EEU Service
we've had no electricity in our area for 3 days.,Supply
frequent blackouts are damaging my electronics.,Supply
i applied for a new connection but haven’t received any updates.,EEU Service
customer service gave me incorrect information.,Customer
i bought a prepaid token but it’s not working.,Pre-Paid
the technician arrived drunk.,Employee
i requested a new meter but received no response.,Meter
token error shows 'already used'.,Pre-Paid
i received a bill after disconnection.,Billing
meter was removed without notice.,Meter
system won’t accept my meter number.,Pre-Paid
frequent blackouts are damaging my electronics.,Supply
power cuts happen every evening around 9 pm.,Supply
the readings are way too high compared to usage.,Meter
i applied for a new connection but haven’t received any updates.,EEU Service
the inspector forged my documents.,Employee
i think someone has tampered with my meter.,Meter
the agent was rude and unhelpful.,Customer
the readings are way too high compared to usage.,Meter
the service is extremely slow and inefficient.,EEU Service
