Complaint_text,Catagory
Please replace my meter; it burnt due to your fault.,Meter
I need to upgrade my load for a new workshop.,Customer
My bill shows a reading too high for my apartment.,Bill
The meter board is damaged; I need a new one.,Meter
Please fix the damaged pole in my street.,Supply
I�m requesting medical leave; please process.,Employee
The bill is negative; I haven�t made extra payments.,Bill
My prepaid meter is faulty; it won�t accept cards.,Pre-paid
Please relocate my meter to the side of the property.,Miscellaneous
My power is out; please investigate.,Supply
The account name is wrong; please update it.,Customer
Please process my travel allowance for this month.,Employee
My meter is giving suspicious readings; test it.,Meter
I want to reduce my load; I use less electricity.,Miscellaneous
Please restore my electricity; I paid my bill.,EEU Service
The bill shows a wrong tariff for my single-phase connection.,Bill
My internal wiring is causing shocks; fix it.,Customer
Please replace my burnt prepaid meter urgently.,Pre-paid
The pole is in my driveway; please shift.,EEU Service
My bill was sent to the wrong email; please resend it.,Bill
Please apply the employee tariff to my account.,Employee
My meter was burnt due to your electrical fault.,Meter
I need a tariff for my new apartment; please help.,Customer
The bill shows no consumption but my appliances are running. ,Bill
Please repair the faulty breaker in my house.,Miscellaneous
My power has been out for three days; please fix it!,Supply
Please approve my annual leave as an employee.,Employee
The meter is not working; please replace it.,Pre-paid
Please relocate my meter to the new building.,EEU Service
My bill shows a credit I didn�t earn; please check.,Bill
The wiring in my home is sparking; please help.,Customer
Please replace the burnt meter board at my house.,Meter
There�s no electricity in my area; send a technician.,Supply
The bill name is incorrect; please correct it.,Customer
Please process my medical leave application.,Employee
My meter is faulty; it�s showing inconsistent readings.,Meter
I need to decrease my load for my home.,Miscellaneous
My power was cut off despite paying my bill!,EEU Service
The tariff on my bill is too high for my home.,Bill
My house wiring is causing breaker trips; repair it.,Customer
Please replace my burnt prepaid meter.,Pre-paid
The pole is causing problems; please relocate.,EEU Service
My bill shows usage from a meter that was replaced.,Bill
Please give me the staff tariff for my bill.,Employee
The meter caught fire because of your system.,Meter
I want a tariff with no extra fees.,Customer
My bill is for nil consumption; that�s incorrect.,Bill
The breaker trips constantly; please fix it.,Miscellaneous
There�s no supply in my home; please help.,Supply
Please process my annual leave request.,Employee
My prepaid meter stopped; please fix it.,Pre-paid
Please shift my meter to the new extension.,EEU Service
The bill has a negative value; that�s incorrect.,Bill
My internal lines are causing outages; repair them.,Customer
My meter board caught fire; please fix it.,Meter
The power is off in my street; what�s the issue?,Supply
The bill is in my old tenant�s name; please update.,Customer
Please approve my medical leave request.,Employee
My meter stopped recording after a lightning strike.,Meter
Please reduce my load; I�m downsizing.,Miscellaneous
Why is my electricity off? I paid on time!,EEU Service
I�m on a commercial tariff  but I�m a residential user!,Bill
There�s a fault in my internal lines; please repair.,Customer
The meter was damaged by fire; replace it.,Pre-paid
Can you move the pole? It�s blocking my gate.,EEU Service
My bill charged me for 300 kWh when my house was vacant!,Bill
Please apply the staff tariff to my bill.,Employee
My meter was burnt by your power surge.,Meter
I need a tariff change to lower my bills.,Customer
Why is my bill based on an estimated reading?,Bill
My breaker is faulty; please repair it.,Miscellaneous
My house is without power; please restore.,Supply
Please grant my annual leave request.,Employee
The prepaid meter is broken; please replace it.,Pre-paid
Can you relocate my meter to the new room?,EEU Service
My bill shows a refund I�m not entitled to; fix it.,Bill
My wiring is faulty; please send a technician.,Customer
The meter board is scorched; I need a new one.,Meter
I have no electricity; please check it.,Supply
Please change the account name to my new business.,Customer
Please process my allowance application.,Employee
My meter is giving wrong readings; please check.,Meter
I need a lower load for my small office.,Miscellaneous
My electricity was cut off by mistake.,EEU Service
The bill shows a tariff for a business; I�m a homeowner.,Bill
My house wiring is causing power surges; please fix.,Customer
Please fix my burnt prepaid meter.,Pre-paid
Please relocate the pole in my street.,EEU Service
The bill is charging me for a neighbor�s meter; please fix.,Bill
Please update my bill with the employee tariff.,Employee
The meter was damaged by an EEU surge.,Meter
Can you apply a low-usage tariff to my house?,Customer
I received a bill with no meter reading; please check.,Bill
The breaker is broken; please replace it.,Miscellaneous
The electricity is down; please fix it.,Supply
Please approve my annual leave application.,Employee
My meter is damaged; it�s not working.,Pre-paid
Please move my meter to a better spot.,EEU Service
My bill has an incorrect billing cycle; please update.,Bill
My internal wiring is outdated; please check it.,Customer
My meter board was burnt; please replace.,Meter
There�s no supply in my street; please help.,Supply
The bill shows my maiden name; please correct.,Customer
Please grant my medical leave application.,Employee
My meter is broken; it shows random readings.,Meter
Can you reduce my load? I�m using less power.,Miscellaneous
I paid my bill; why is my supply off?,EEU Service
My tariff was changed without my knowledge; fix it.,Bill
